,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
56477,9,TRANSFER,1154353.99,C670587931,1154353.99,0.0,C150406565,0.0,10872.9,1,0
58307,9,TRANSFER,21922.0,C102617052,21922.0,0.0,C760675871,0.0,0.0,1,0
60853,9,TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1,0
69201,9,TRANSFER,1055.0,C666486325,1055.0,0.0,C279565067,0.0,0.0,1,0
72510,9,TRANSFER,244068.01,C1087133093,244068.01,0.0,C1855553543,0.0,0.0,1,0
72930,10,TRANSFER,59835.0,C1568400442,59835.0,0.0,C1262169546,0.0,0.0,1,0
90070,10,TRANSFER,93810.76,C481501970,93810.76,0.0,C1262577882,0.0,0.0,1,0
99371,10,TRANSFER,503405.88,C1446009472,503405.88,0.0,C2010733400,0.0,0.0,1,0
102180,10,TRANSFER,2662734.59,C1182702586,2662734.59,0.0,C2143409210,0.0,0.0,1,0
102607,10,TRANSFER,9217.19,C184586799,9217.19,0.0,C812377986,0.0,96795.6,1,0
136419,11,TRANSFER,2100.0,C785601242,2100.0,0.0,C1576053316,0.0,0.0,1,0
138559,11,TRANSFER,1933920.8,C1706582969,0.0,0.0,C461905695,1283762.85,3217683.65,1,0
141634,11,TRANSFER,313418.28,C711446907,313418.28,0.0,C888769567,0.0,97980.88,1,0
142087,11,TRANSFER,12461.0,C2079232448,12461.0,0.0,C585834595,0.0,0.0,1,0
146627,12,TRANSFER,19472.0,C1101705841,19472.0,0.0,C925285469,0.0,0.0,1,0
151657,12,TRANSFER,3964129.99,C576568419,3964129.99,0.0,C1571546632,0.0,0.0,1,0
151924,12,TRANSFER,1041647.06,C345293642,1041647.06,0.0,C937194908,0.0,0.0,1,0
167556,12,TRANSFER,2066467.64,C1223631235,2066467.64,0.0,C1281019843,0.0,81209.81,1,0
174584,12,TRANSFER,2007.0,C439464764,2007.0,0.0,C562360384,0.0,0.0,1,0
181900,12,TRANSFER,8677.0,C288028999,8677.0,0.0,C184294001,0.0,0.0,1,0
182861,13,TRANSFER,408.0,C2021466585,408.0,0.0,C1864486913,0.0,226013.18,1,0
193765,13,TRANSFER,48375.02,C920803432,48375.02,0.0,C1767389067,0.0,0.0,1,0
196775,13,TRANSFER,4022667.54,C735463888,4022667.54,0.0,C1548348754,0.0,0.0,1,0
202361,13,TRANSFER,1161495.82,C1864459372,1161495.82,0.0,C537531657,0.0,0.0,1,0
204215,13,TRANSFER,2686564.04,C364029634,2686564.04,0.0,C2041291172,0.0,0.0,1,0
217320,13,TRANSFER,6188514.81,C135832352,6188514.81,0.0,C2009346140,0.0,0.0,1,0
217978,13,TRANSFER,123194.95,C2143112877,79466.45,0.0,C1755380031,535933.16,263908.84,1,0
222997,14,TRANSFER,2093951.47,C1374377088,2093951.47,0.0,C207611232,0.0,0.0,1,0
241947,14,TRANSFER,143032.0,C1960144830,143032.0,0.0,C801162238,0.0,0.0,1,0
242982,14,TRANSFER,2927005.15,C2081788795,2927005.15,0.0,C2138456206,0.0,0.0,1,0
248771,14,TRANSFER,1832319.42,C439830884,1832319.42,0.0,C1133002328,0.0,0.0,1,0
255701,14,TRANSFER,1561891.66,C736093511,1561891.66,0.0,C1224081716,0.0,0.0,1,0
259844,14,TRANSFER,65488.05,C236875489,65488.05,0.0,C528705657,0.0,0.0,1,0
271116,15,TRANSFER,696763.08,C968403759,696763.08,0.0,C1524019269,0.0,69861.26,1,0
277265,15,TRANSFER,119.0,C1995557473,119.0,0.0,C1480876722,0.0,0.0,1,0
277990,15,TRANSFER,128473.62,C1012580160,128473.62,0.0,C540657255,0.0,0.0,1,0
285019,15,TRANSFER,248056.41,C1474711983,248056.41,0.0,C1009564356,0.0,0.0,1,0
286185,15,TRANSFER,164500.81,C1761347420,164500.81,0.0,C383804904,0.0,0.0,1,0
288376,15,TRANSFER,212089.74,C378910639,212089.74,0.0,C1881567873,0.0,0.0,1,0
301801,15,TRANSFER,170.0,C553034695,170.0,0.0,C26381896,0.0,0.0,1,0
302331,15,TRANSFER,747282.4,C1695793096,747282.4,0.0,C849010584,0.0,0.0,1,0
303659,15,TRANSFER,59385.67,C1275373422,59385.67,0.0,C1704707395,0.0,0.0,1,0
318373,16,TRANSFER,2198224.71,C752563135,2198224.71,0.0,C247007952,0.0,0.0,1,0
327761,16,TRANSFER,828720.89,C1422357582,828720.89,0.0,C366986030,0.0,0.0,1,0
338007,16,TRANSFER,2701905.3,C494334546,2701905.3,0.0,C428725863,0.0,0.0,1,0
343300,16,TRANSFER,31074.0,C457962127,31074.0,0.0,C614104997,0.0,0.0,1,0
347734,16,TRANSFER,121626.82,C185016231,121626.82,0.0,C1409959,0.0,0.0,1,0
368258,17,TRANSFER,1639676.27,C15998296,1639676.27,0.0,C1652158314,0.0,0.0,1,0
369526,17,TRANSFER,305627.0,C1711670940,305627.0,0.0,C385061535,0.0,0.0,1,0
376840,17,TRANSFER,195351.76,C1420261366,195351.76,0.0,C639808302,0.0,0.0,1,0
397546,18,TRANSFER,295664.18,C1726326177,295664.18,0.0,C1540448785,0.0,0.0,1,0
404428,18,TRANSFER,307739.18,C1066119351,307739.18,0.0,C702410034,0.0,0.0,1,0
410905,18,TRANSFER,1102133.9,C590103740,1102133.9,0.0,C1610372134,0.0,746575.95,1,0
414521,18,TRANSFER,1144089.37,C1218322192,1144089.37,0.0,C1107369132,0.0,0.0,1,0
421523,18,TRANSFER,1974352.3,C745648946,1974352.3,0.0,C1091334879,0.0,0.0,1,0
421585,18,TRANSFER,11481.0,C370107492,11481.0,0.0,C1680789799,0.0,263492.28,1,0
437291,18,TRANSFER,9131.0,C1592623877,9131.0,0.0,C87183368,0.0,0.0,1,0
464597,19,TRANSFER,143660.11,C1156611770,143660.11,0.0,C742977582,0.0,0.0,1,0
474966,19,TRANSFER,3477438.49,C767243506,3477438.49,0.0,C1532877354,0.0,0.0,1,0
480463,19,TRANSFER,161939.36,C263177591,161939.36,0.0,C94435408,0.0,0.0,1,0
481250,19,TRANSFER,10000000.0,C416779475,11861008.32,1861008.32,C380259496,0.0,0.0,1,0
481252,19,TRANSFER,1861008.32,C1990303942,1861008.32,0.0,C1308678191,0.0,0.0,1,0
499609,20,TRANSFER,16614.82,C2080146129,16614.82,0.0,C748889213,0.0,0.0,1,0
522655,20,TRANSFER,448025.06,C1976637754,448025.06,0.0,C4020115,0.0,0.0,1,0
537962,21,TRANSFER,785323.0,C1204079316,785323.0,0.0,C637091706,0.0,0.0,1,0
538753,21,TRANSFER,158299.34,C278180302,158299.34,0.0,C1551346623,0.0,0.0,1,0
553050,22,TRANSFER,346704.55,C1332180070,346704.55,0.0,C2027621451,0.0,0.0,1,0
554857,22,TRANSFER,461509.86,C1765744035,461509.86,0.0,C788887602,0.0,0.0,1,0
554875,22,TRANSFER,37100.29,C362085592,37100.29,0.0,C1652057111,0.0,0.0,1,0
555101,22,TRANSFER,235512.2,C480136801,235512.2,0.0,C160106315,0.0,0.0,1,0
555789,22,TRANSFER,2068118.36,C1472367087,2068118.36,0.0,C52390890,0.0,0.0,1,0
556187,22,TRANSFER,74804.24,C1239771149,74804.24,0.0,C1699565892,0.0,0.0,1,0
556508,22,TRANSFER,489767.32,C869780206,489767.32,0.0,C926230389,0.0,0.0,1,0
556521,22,TRANSFER,379878.0,C336424141,379878.0,0.0,C404961694,0.0,0.0,1,0
562125,22,TRANSFER,1258956.71,C1209224134,1258956.71,0.0,C314012937,0.0,0.0,1,0
562242,22,TRANSFER,77773.14,C834571675,77773.14,0.0,C312865842,0.0,0.0,1,0
562862,22,TRANSFER,239646.72,C1977304181,239646.72,0.0,C1053513851,0.0,0.0,1,0
566149,23,TRANSFER,146127.1,C1866778945,146127.1,0.0,C225469649,0.0,0.0,1,0
571496,24,TRANSFER,291305.98,C71665357,291305.98,0.0,C1607901570,0.0,0.0,1,0
572194,24,TRANSFER,986876.27,C1702714599,986876.27,0.0,C83459379,0.0,0.0,1,0
572854,24,TRANSFER,6844.73,C997222163,6844.73,0.0,C761549792,0.0,0.0,1,0
574433,25,TRANSFER,8383.17,C282822245,8383.17,0.0,C1731493383,0.0,0.0,1,0
574482,25,TRANSFER,781953.11,C763225876,781953.11,0.0,C1927695058,0.0,0.0,1,0
574713,25,TRANSFER,217231.0,C1527375688,217231.0,0.0,C658289217,0.0,0.0,1,0
574957,25,TRANSFER,44829.81,C589374615,44829.81,0.0,C1612426642,0.0,0.0,1,0
574960,25,TRANSFER,296333.54,C1473328942,296333.54,0.0,C1650053869,0.0,0.0,1,0
574991,25,TRANSFER,18126.95,C556483673,18126.95,0.0,C946378506,0.0,0.0,1,0
575028,25,TRANSFER,249159.26,C862942009,249159.26,0.0,C1488413166,0.0,0.0,1,0
575511,25,TRANSFER,1698263.69,C1865185181,1698263.69,0.0,C388097316,0.0,0.0,1,0
575768,25,TRANSFER,802382.45,C127098115,802382.45,0.0,C1570699013,0.0,0.0,1,0
575854,26,TRANSFER,37065.55,C1952239554,37065.55,0.0,C399460584,0.0,0.0,1,0
576000,26,TRANSFER,369186.87,C1879175902,369186.87,0.0,C900709443,0.0,0.0,1,0
576022,26,TRANSFER,78741.64,C1482114822,78741.64,0.0,C2123466960,0.0,0.0,1,0
576027,26,TRANSFER,1646181.09,C700083141,1646181.09,0.0,C1359428492,0.0,0.0,1,0
576160,26,TRANSFER,331829.94,C1549516546,331829.94,0.0,C1908627867,0.0,0.0,1,0
576166,26,TRANSFER,1027152.36,C414159853,1027152.36,0.0,C1087566727,0.0,0.0,1,0
576300,27,TRANSFER,494244.61,C1529468267,494244.61,0.0,C1924171481,0.0,0.0,1,0
576319,27,TRANSFER,329937.88,C699198167,329937.88,0.0,C2064246111,0.0,0.0,1,0
576324,27,TRANSFER,496128.26,C842027258,496128.26,0.0,C136618845,0.0,0.0,1,0
576332,27,TRANSFER,1218165.88,C361429301,1218165.88,0.0,C550179566,0.0,0.0,1,0
576334,28,TRANSFER,3832058.34,C1279307827,3832058.34,0.0,C1124913173,0.0,0.0,1,0
576336,28,TRANSFER,491517.77,C1029198062,491517.77,0.0,C1534111155,0.0,0.0,1,0
576338,29,TRANSFER,340198.41,C491994230,340198.41,0.0,C772681684,0.0,0.0,1,0
576340,29,TRANSFER,268641.82,C775733773,268641.82,0.0,C2121303056,0.0,0.0,1,0
576342,30,TRANSFER,122235.11,C1279213624,122235.11,0.0,C2100791242,0.0,0.0,1,0
576344,30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0
576346,30,TRANSFER,19016.22,C182136548,19016.22,0.0,C717672329,0.0,0.0,1,0
576348,30,TRANSFER,109401.88,C2037269206,109401.88,0.0,C337579043,0.0,0.0,1,0
576350,31,TRANSFER,335219.49,C1775717184,335219.49,0.0,C1987320319,0.0,0.0,1,0
576352,31,TRANSFER,120406.39,C237098657,120406.39,0.0,C1177827371,0.0,0.0,1,0
576354,31,TRANSFER,21516.38,C551376615,21516.38,0.0,C2121782042,0.0,0.0,1,0
576356,31,TRANSFER,378204.02,C620879020,378204.02,0.0,C929929591,0.0,0.0,1,0
576358,31,TRANSFER,5021186.54,C1848562108,5021186.54,0.0,C1803198527,0.0,0.0,1,0
576360,31,TRANSFER,587031.2,C1909564191,587031.2,0.0,C2047987632,0.0,0.0,1,0
576362,32,TRANSFER,81867.07,C1128786535,81867.07,0.0,C9901046,0.0,0.0,1,0
576364,32,TRANSFER,2023920.09,C306405849,2023920.09,0.0,C193080093,0.0,0.0,1,0
576366,32,TRANSFER,404165.06,C1458768825,404165.06,0.0,C206316722,0.0,0.0,1,0
576368,32,TRANSFER,1164448.96,C107615831,1164448.96,0.0,C144473930,0.0,0.0,1,0
576370,32,TRANSFER,401575.19,C2084058641,401575.19,0.0,C1017580631,0.0,0.0,1,0
576372,32,TRANSFER,604933.67,C1769820937,604933.67,0.0,C1536446312,0.0,0.0,1,0
580449,33,TRANSFER,3295227.84,C1152596026,3295227.84,0.0,C1976114093,0.0,0.0,1,0
584083,33,TRANSFER,214975.9,C304547800,214975.9,0.0,C155793474,0.0,0.0,1,0
586311,33,TRANSFER,10000000.0,C1439740840,19887819.06,9887819.06,C875288652,0.0,0.0,1,0
586313,33,TRANSFER,9887819.06,C1548903046,9887819.06,0.0,C2065423383,0.0,0.0,1,0
590490,33,TRANSFER,1448630.38,C101899927,1448630.38,0.0,C679483948,0.0,0.0,1,0
597895,33,TRANSFER,6648389.9,C67311634,6648389.9,0.0,C674603923,0.0,0.0,1,0
605778,34,TRANSFER,51424.22,C1887135298,51424.22,0.0,C1119742908,0.0,0.0,1,0
610270,34,TRANSFER,428239.03,C711340026,428239.03,0.0,C674486348,0.0,0.0,1,0
610619,34,TRANSFER,52557.21,C437611850,52557.21,0.0,C830293590,0.0,0.0,1,0
611234,34,TRANSFER,1462355.44,C2112073607,1462355.44,0.0,C399994587,0.0,0.0,1,0
612090,34,TRANSFER,27951.26,C722855847,27951.26,0.0,C866867675,0.0,0.0,1,0
615174,34,TRANSFER,989311.12,C2035691205,989311.12,0.0,C2145664965,0.0,0.0,1,0
616561,34,TRANSFER,865948.49,C321662798,865948.49,0.0,C1466511502,0.0,0.0,1,0
616791,34,TRANSFER,30917.39,C1302461032,30917.39,0.0,C1058590682,0.0,0.0,1,0
620987,34,TRANSFER,40458.0,C262165422,40458.0,0.0,C847172802,0.0,0.0,1,0
622611,34,TRANSFER,1016540.35,C638438531,1016540.35,0.0,C2146216948,0.0,0.0,1,0
626937,34,TRANSFER,71693.42,C1103482150,71693.42,0.0,C2145121206,0.0,0.0,1,0
637350,35,TRANSFER,472692.51,C892010542,472692.51,0.0,C935310781,0.0,0.0,1,0
640263,35,TRANSFER,122032.62,C133342319,122032.62,0.0,C1919617921,0.0,0.0,1,0
643435,35,TRANSFER,3606943.31,C1054903406,3606943.31,0.0,C755069790,0.0,0.0,1,0
646014,35,TRANSFER,171788.82,C392119936,171788.82,0.0,C1283539626,0.0,0.0,1,0
650133,35,TRANSFER,9465988.82,C851016578,9465988.82,0.0,C1650562969,0.0,0.0,1,0
651947,35,TRANSFER,454511.73,C1322100754,454511.73,0.0,C580058151,0.0,0.0,1,0
653948,35,TRANSFER,136983.26,C828966021,136983.26,0.0,C253711141,0.0,0.0,1,0
665637,36,TRANSFER,326884.31,C237051726,326884.31,0.0,C1684081981,0.0,0.0,1,0
667026,36,TRANSFER,2352524.18,C1498028072,2352524.18,0.0,C70360442,0.0,0.0,1,0
667085,36,TRANSFER,113338.99,C226697568,113338.99,0.0,C1045024523,0.0,0.0,1,0
675536,36,TRANSFER,886592.76,C1027885522,886592.76,0.0,C201404620,0.0,0.0,1,0
680190,36,TRANSFER,819503.92,C2020161235,819503.92,0.0,C1827219533,0.0,0.0,1,0
683722,36,TRANSFER,636.0,C1819371332,636.0,0.0,C59681246,0.0,0.0,1,0
687403,36,TRANSFER,32382.96,C1291212648,32382.96,0.0,C301302016,0.0,0.0,1,0
687726,36,TRANSFER,103056.0,C383698470,103056.0,0.0,C761769299,0.0,0.0,1,0
695414,36,TRANSFER,1684039.12,C397247453,1684039.12,0.0,C227472046,0.0,0.0,1,0
708912,37,TRANSFER,1842.0,C1032918138,1842.0,0.0,C34257403,0.0,0.0,1,0
717792,37,TRANSFER,180967.56,C1482673200,180967.56,0.0,C1127207923,0.0,0.0,1,0
722089,37,TRANSFER,93083.27,C1904979167,93083.27,0.0,C2067685892,0.0,0.0,1,0
725132,37,TRANSFER,5979556.06,C899260948,5979556.06,0.0,C1414206737,0.0,0.0,1,0
728194,37,TRANSFER,128133.0,C1300586295,128133.0,0.0,C786580223,0.0,0.0,1,0
729660,37,TRANSFER,503793.25,C140477383,503793.25,0.0,C1169138113,0.0,95709.62,1,0
739293,38,TRANSFER,448004.86,C2088582248,448004.86,0.0,C534171533,0.0,0.0,1,0
742060,38,TRANSFER,90204.54,C151033820,90204.54,0.0,C1303889891,0.0,0.0,1,0
751771,38,TRANSFER,21367.0,C1884262933,21367.0,0.0,C69223691,0.0,0.0,1,0
756497,38,TRANSFER,2395.29,C1015615322,2395.29,0.0,C503986394,0.0,0.0,1,0
759791,38,TRANSFER,7567170.36,C1215509660,7567170.36,0.0,C96222488,0.0,0.0,1,0
761852,38,TRANSFER,3372.0,C2049498532,3372.0,0.0,C1540407960,0.0,0.0,1,0
765268,38,TRANSFER,360688.3,C739289668,360688.3,0.0,C432663857,0.0,0.0,1,0
766627,39,TRANSFER,2070814.27,C511306069,2070814.27,0.0,C1776402146,0.0,0.0,1,0
767468,39,TRANSFER,238717.5,C492613437,238717.5,0.0,C74971191,0.0,0.0,1,0
769762,39,TRANSFER,18887.0,C725825783,18887.0,0.0,C236787500,0.0,0.0,1,0
777626,39,TRANSFER,7937954.2,C2057200986,7937954.2,0.0,C1124319645,0.0,0.0,1,0
782395,39,TRANSFER,39013.3,C1092667126,39013.3,0.0,C1482119856,0.0,0.0,1,0
788647,39,TRANSFER,152042.16,C1118399210,152042.16,0.0,C104038589,0.0,0.0,1,0
792109,40,TRANSFER,26950.06,C575969831,26950.06,0.0,C220147588,0.0,0.0,1,0
800385,40,TRANSFER,20314.97,C776336653,20314.97,0.0,C737099940,0.0,0.0,1,0
801933,40,TRANSFER,6188772.44,C979937832,6188772.44,0.0,C1787596520,0.0,0.0,1,0
805429,40,TRANSFER,2757431.53,C1340596396,2757431.53,0.0,C487414422,0.0,0.0,1,0
817010,40,TRANSFER,7887.75,C1551140519,7887.75,0.0,C311151183,0.0,0.0,1,0
819198,40,TRANSFER,31930.24,C1311186566,31930.24,0.0,C1907577066,0.0,0.0,1,0
819543,40,TRANSFER,212613.29,C1424554187,212613.29,0.0,C1294873831,0.0,0.0,1,0
841751,41,TRANSFER,581889.94,C518343264,581889.94,0.0,C596058183,0.0,0.0,1,0
848428,41,TRANSFER,1783144.33,C1067826676,1783144.33,0.0,C57546675,0.0,0.0,1,0
854216,41,TRANSFER,82806.2,C474735735,82806.2,0.0,C1737223057,0.0,0.0,1,0
854856,41,TRANSFER,32690.68,C1813633369,32690.68,0.0,C586649123,0.0,0.0,1,0
855227,41,TRANSFER,1270564.34,C1268743025,1270564.34,0.0,C802302527,0.0,0.0,1,0
858023,41,TRANSFER,2885466.96,C739578791,2885466.96,0.0,C1562052816,0.0,0.0,1,0
861645,42,TRANSFER,334276.08,C1374233613,334276.08,0.0,C443044241,0.0,0.0,1,0
870089,42,TRANSFER,3569720.42,C1985844506,3569720.42,0.0,C440567141,0.0,0.0,1,0
870140,42,TRANSFER,1566057.28,C646867271,1566057.28,0.0,C701554593,0.0,0.0,1,0
875332,42,TRANSFER,5032484.73,C1883768704,5032484.73,0.0,C1982874632,0.0,0.0,1,0
882284,42,TRANSFER,36359.57,C1167233065,36359.57,0.0,C528250681,0.0,0.0,1,0
896003,42,TRANSFER,506867.52,C1345605199,506867.52,0.0,C759668657,0.0,0.0,1,0
899577,42,TRANSFER,1917497.63,C373557981,1917497.63,0.0,C114416170,0.0,0.0,1,0
911853,43,TRANSFER,29988.0,C158964639,29988.0,0.0,C1661087818,0.0,0.0,1,0
919658,43,TRANSFER,350789.59,C1709961291,350789.59,0.0,C1364728606,0.0,276871.71,1,0
920521,43,TRANSFER,1395850.55,C1296215617,0.0,0.0,C1429415136,260806.21,1656656.77,1,0
929776,43,TRANSFER,93459.89,C1518273469,93459.89,0.0,C1076725693,0.0,0.0,1,0
936783,43,TRANSFER,435166.65,C1897851214,435166.65,0.0,C1118636317,0.0,0.0,1,0
941414,43,TRANSFER,21987.0,C725236553,21987.0,0.0,C417640852,0.0,0.0,1,0
945639,43,TRANSFER,362152.77,C1484448573,362152.77,0.0,C1911678087,0.0,0.0,1,0
955157,44,TRANSFER,1649818.97,C369936121,1649818.97,0.0,C1347315975,0.0,0.0,1,0
956900,44,TRANSFER,387952.42,C374179954,387952.42,0.0,C1213274351,0.0,0.0,1,0
958716,44,TRANSFER,44571.94,C1819568647,44571.94,0.0,C258309243,0.0,0.0,1,0
960909,44,TRANSFER,534255.94,C967325382,534255.94,0.0,C1259079602,0.0,0.0,1,0
985194,45,TRANSFER,213983.59,C286239409,213983.59,0.0,C151804423,0.0,0.0,1,0
985996,45,TRANSFER,217255.97,C1481880227,217255.97,0.0,C948441746,0.0,0.0,1,0
992140,45,TRANSFER,1069508.42,C1582972194,1069508.42,0.0,C284364603,0.0,0.0,1,0
994790,45,TRANSFER,5188875.35,C1556710652,5188875.35,0.0,C1264872013,0.0,0.0,1,0
995662,45,TRANSFER,4919642.57,C1457431353,4919642.57,0.0,C203170379,0.0,0.0,1,0
998512,45,TRANSFER,357836.57,C353840221,357836.57,0.0,C1679122685,0.0,0.0,1,0
999221,45,TRANSFER,155761.29,C280136890,155761.29,0.0,C927108992,0.0,0.0,1,0
999453,45,TRANSFER,7335355.57,C1102672587,7335355.57,0.0,C735323689,0.0,0.0,1,0
1005088,46,TRANSFER,9977761.05,C154757729,9977761.05,0.0,C1895716929,0.0,0.0,1,0
1005246,46,TRANSFER,35016.23,C397528199,35016.23,0.0,C1325281003,0.0,0.0,1,0
1006042,46,TRANSFER,71372.0,C33339986,71372.0,0.0,C2120774041,0.0,0.0,1,0
1007888,46,TRANSFER,945131.85,C1324043104,945131.85,0.0,C797897879,0.0,0.0,1,0
1012124,46,TRANSFER,736370.54,C1061149717,736370.54,0.0,C737745926,0.0,0.0,1,0
1012993,46,TRANSFER,82971.91,C1603043156,82971.91,0.0,C898953864,0.0,0.0,1,0
1013893,46,TRANSFER,585010.21,C1948614614,585010.21,0.0,C218558993,0.0,0.0,1,0
1015255,47,TRANSFER,225850.53,C362274629,225850.53,0.0,C2097224214,0.0,0.0,1,0
1015514,47,TRANSFER,243028.65,C1664257559,243028.65,0.0,C1658994093,0.0,0.0,1,0
1015713,47,TRANSFER,2249574.01,C853837808,2249574.01,0.0,C1750636426,0.0,0.0,1,0
1016743,47,TRANSFER,13172.17,C1669581327,13172.17,0.0,C1697995801,0.0,0.0,1,0
1016898,47,TRANSFER,61487.67,C825902720,61487.67,0.0,C512979582,0.0,0.0,1,0
1018658,47,TRANSFER,156011.24,C1496997212,156011.24,0.0,C1588957214,0.0,0.0,1,0
1019074,47,TRANSFER,36532.84,C905922907,36532.84,0.0,C2062739315,0.0,0.0,1,0
1021081,47,TRANSFER,827921.27,C1767277816,827921.27,0.0,C1835346647,0.0,0.0,1,0
1021228,47,TRANSFER,667043.9,C1221718544,667043.9,0.0,C29028630,0.0,0.0,1,0
1021951,47,TRANSFER,202978.65,C1932446672,0.0,0.0,C966173999,2122336.55,2325315.19,1,0
1023029,47,TRANSFER,1388951.5,C1186930189,1388951.5,0.0,C2069118895,0.0,0.0,1,0
1025193,48,TRANSFER,1215297.01,C22070941,1215297.01,0.0,C1908319524,0.0,0.0,1,0
